[ 2012-03-29T12:21:18+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-29T12:21:18+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010020s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010500s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.008458s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.008603s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000848s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000948s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.006370s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.006469s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.068103s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.068212s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.005443s ]
[ 2012-03-29T12:21:18+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.005706s ]
