[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Run CheckRoute Behavior [ RunTime:0.008747s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Tag[ route_check ] --END-- [ RunTime:0.009604s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004793s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005025s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run CheckRoute Behavior [ RunTime:0.001162s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001298s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000755s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000844s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run LocationTemplate Behavior [ RunTime:0.019703s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.019801s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run ParseTemplate Behavior [ RunTime:0.065728s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.065835s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run ContentReplace Behavior [ RunTime:0.001464s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run TokenBuild Behavior [ RunTime:0.011935s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001701s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001503s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016876s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.005053s ]
[ 2012-03-23T08:29:33+08:00 ] /www/read/author/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.005157s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | INFO: Run CheckRoute Behavior [ RunTime:0.001166s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.001303s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000754s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000843s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.054712s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/Author/check | SQL: SELECT `id` FROM `user` WHERE ( `userName` = 'author' ) AND ( `userPass` = 'author' ) AND ( `state` = 1 ) AND ( `userType` = 1 ) LIMIT 1   [ RunTime:0.002894s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run CheckRoute Behavior [ RunTime:0.001589s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ route_check ] --END-- [ RunTime:0.001773s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001041s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001160s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_template ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run LocationTemplate Behavior [ RunTime:0.001710s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_template ] --END-- [ RunTime:0.001852s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_parse ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run ParseTemplate Behavior [ RunTime:0.070109s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_parse ] --END-- [ RunTime:0.070249s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_filter ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run ContentReplace Behavior [ RunTime:0.000810s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run TokenBuild Behavior [ RunTime:0.000581s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000348s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run ShowRuntime Behavior [ RunTime:0.000601s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002607s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_end ] --START--
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Run ShowPageTrace Behavior [ RunTime:0.002920s ]
[ 2012-03-23T08:29:40+08:00 ] /www/read/author | INFO: Tag[ view_end ] --END-- [ RunTime:0.003013s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --START--
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Run CheckRoute Behavior [ RunTime:0.001155s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001298s ]
[ 2012-03-23T08:29:42+08:00 ] /www/read/Author/add_Novel | INFO: Tag[ app_begin ] --START--
