[ 2012-04-01T13:28:50+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007025s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007414s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.005689s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.007126s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002728s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003014s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.006019s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.006250s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.071084s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.071353s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.003412s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.004026s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002912s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.003627s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.014621s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.004050s ]
[ 2012-04-01T13:28:50+08:00 ] /www/read/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.004772s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | INFO: Tag[ route_check ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | INFO: Run CheckRoute Behavior [ RunTime:0.003245s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.003594s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | INFO: Tag[ app_begin ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002197s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002430s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.035776s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/check | SQL: SELECT `id` FROM `user` WHERE ( `userName` = 'author' ) AND ( `userPass` = 'author' ) AND ( `state` = 1 ) LIMIT 1   [ RunTime:0.002429s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ route_check ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run CheckRoute Behavior [ RunTime:0.004791s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005155s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002152s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002381s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.082991s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | SQL: SELECT * FROM `books`  [ RunTime:0.002193s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.013053s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '22' )  [ RunTime:0.003768s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_template ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005534s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005771s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run ParseTemplate Behavior [ RunTime:0.046944s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047193s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run ContentReplace Behavior [ RunTime:0.001785s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run TokenBuild Behavior [ RunTime:0.001865s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001180s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001934s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007380s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_end ] --START--
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.006043s ]
[ 2012-04-01T13:30:09+08:00 ] /www/read/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.006528s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --START--
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Run CheckRoute Behavior [ RunTime:0.003209s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --END-- [ RunTime:0.003547s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --START--
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002285s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002529s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.007920s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '22' )  [ RunTime:0.002227s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.007850s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | SQL: SELECT * FROM `books`  [ RunTime:0.002392s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --START--
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Run LocationTemplate Behavior [ RunTime:0.004135s ]
[ 2012-04-01T13:30:13+08:00 ] /www/read/Libary | INFO: Tag[ view_template ] --END-- [ RunTime:0.004369s ]
