[ 2012-03-30T13:27:14+08:00 ] /www/read/author | INFO: Tag[ route_check ] --START--
[ 2012-03-30T13:27:14+08:00 ] /www/read/author | INFO: Run CheckRoute Behavior [ RunTime:0.008236s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author | INFO: Tag[ route_check ] --END-- [ RunTime:0.008432s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --START--
[ 2012-03-30T13:27:14+08:00 ] /www/read/author | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007433s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007544s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --START--
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Run CheckRoute Behavior [ RunTime:0.001323s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001474s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000941s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001043s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --START--
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Run LocationTemplate Behavior [ RunTime:0.006777s ]
[ 2012-03-30T13:27:14+08:00 ] /www/read/author/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.006882s ]
