[ 2012-03-21T13:33:26+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-21T13:33:26+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001915s ]
[ 2012-03-21T13:33:26+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002080s ]
[ 2012-03-21T13:33:26+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-21T13:33:26+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.002130s ]
[ 2012-03-21T13:33:26+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002280s ]
[ 2012-03-21T13:33:26+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-21T13:33:26+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000889s ]
[ 2012-03-21T13:33:26+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000996s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.003751s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003855s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.034672s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034792s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.001547s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.001834s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001394s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001786s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006831s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.004867s ]
[ 2012-03-21T13:33:27+08:00 ] /www/read/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.005009s ]
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin | INFO: Tag[ route_check ] --START--
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin | INFO: Run CheckRoute Behavior [ RunTime:0.002406s ]
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002566s ]
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin | INFO: Tag[ app_begin ] --START--
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001717s ]
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001823s ]
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin/login | INFO: Tag[ route_check ] --START--
[ 2012-03-21T13:35:13+08:00 ] /www/read/admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.001365s ]
