[ 2012-03-18T12:31:54+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-18T12:31:54+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001896s ]
[ 2012-03-18T12:31:54+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002037s ]
[ 2012-03-18T12:34:22+08:00 ] /www/read/ | ERR: (ThinkException) 无法加载模块Index
[ 2012-03-18T12:34:27+08:00 ] /www/read/home | ERR: (ThinkException) 无法加载模块Index
[ 2012-03-18T12:34:45+08:00 ] /www/read/home | INFO: Tag[ route_check ] --START--
[ 2012-03-18T12:34:45+08:00 ] /www/read/home | INFO: Run CheckRoute Behavior [ RunTime:0.002425s ]
[ 2012-03-18T12:34:45+08:00 ] /www/read/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.002580s ]
[ 2012-03-18T12:34:45+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --START--
[ 2012-03-18T12:34:45+08:00 ] /www/read/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001839s ]
[ 2012-03-18T12:34:45+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001960s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ route_check ] --START--
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Run CheckRoute Behavior [ RunTime:0.001274s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.001415s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --START--
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001049s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001158s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ route_check ] --START--
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Run CheckRoute Behavior [ RunTime:0.001676s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.001849s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --START--
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000883s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000994s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ route_check ] --START--
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Run CheckRoute Behavior [ RunTime:0.001735s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.001894s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --START--
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000890s ]
[ 2012-03-18T12:34:46+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000992s ]
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | ERR: (ThinkException) 模板不存在[E:/php/htdocs/www/read/Tpl/Home/Index/index.html]
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Tag[ route_check ] --START--
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Run CheckRoute Behavior [ RunTime:0.001429s ]
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.001574s ]
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --START--
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001051s ]
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001155s ]
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | INFO: Tag[ view_template ] --START--
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | NOTIC: [8] Undefined index:  class ThinkException.class.php 第 79 行.
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | NOTIC: [8] Undefined index:  type ThinkException.class.php 第 79 行.
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | NOTIC: [8] Undefined index:  args ThinkException.class.php 第 80 行.
[ 2012-03-18T12:36:43+08:00 ] /www/read/home | NOTIC: [2] implode() [<a href='function.implode'>function.implode</a>]: Invalid arguments passed ThinkException.class.php 第 80 行.
