[ 2012-03-27T11:17:01+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-27T11:17:01+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008335s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008815s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.023519s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.023661s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000811s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000905s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002918s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003021s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.096063s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.096169s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.005633s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.016906s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001545s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001747s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.026110s ]
[ 2012-03-27T11:17:01+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
