[ 2012-03-28T10:07:32+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006966s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007142s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ route_check ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run CheckRoute Behavior [ RunTime:0.018972s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.019144s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000914s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001021s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  userName functions.php 第 441 行.
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | NOTIC: [8] Undefined index:  logout functions.php 第 441 行.
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_template ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run LocationTemplate Behavior [ RunTime:0.007255s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.007355s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run ParseTemplate Behavior [ RunTime:0.061096s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061202s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run ContentReplace Behavior [ RunTime:0.005647s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run TokenBuild Behavior [ RunTime:0.005477s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004588s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run ShowRuntime Behavior [ RunTime:0.006114s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.022117s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_end ] --START--
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.006722s ]
[ 2012-03-28T10:07:32+08:00 ] /www/read/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.006820s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | INFO: Tag[ route_check ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | INFO: Run CheckRoute Behavior [ RunTime:0.001524s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | INFO: Tag[ route_check ] --END-- [ RunTime:0.001768s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | INFO: Tag[ app_begin ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000858s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000958s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.009482s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/check | SQL: SELECT `id` FROM `user` WHERE ( `userName` = 'user' ) AND ( `userPass` = 'user' ) AND ( `state` = 1 ) LIMIT 1   [ RunTime:0.003241s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ route_check ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run CheckRoute Behavior [ RunTime:0.001278s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001421s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000858s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000958s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `books` [ RunTime:0.009669s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | SQL: SELECT * FROM `books`  [ RunTime:0.003412s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | SQL: SHOW COLUMNS FROM `booklib` [ RunTime:0.008799s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | SQL: SELECT * FROM `booklib` WHERE ( `userId` = '3' )  [ RunTime:0.003630s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_template ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002261s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002385s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run ParseTemplate Behavior [ RunTime:0.026745s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026852s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run ContentReplace Behavior [ RunTime:0.000684s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run TokenBuild Behavior [ RunTime:0.000660s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000491s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000761s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002846s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_end ] --START--
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000792s ]
[ 2012-03-28T10:07:45+08:00 ] /www/read/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000878s ]
[ 2012-03-28T10:07:59+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --START--
[ 2012-03-28T10:07:59+08:00 ] /www/read/Libary | INFO: Run CheckRoute Behavior [ RunTime:0.001246s ]
[ 2012-03-28T10:07:59+08:00 ] /www/read/Libary | INFO: Tag[ route_check ] --END-- [ RunTime:0.001387s ]
